number,name,net buying,buy,sell,list day
600519,贵州茅台,-239392.62,1213893.53,1453121.16,103
600482,中国动力,-104400.0,129.38,104500.0,1
600816,安信信托,-79161.29,5507.01,84570.3,6
600690,青岛海尔,-61478.78,72686.12,134179.88,18
600585,海螺水泥,-59716.16,364653.83,424015.16,55
601336,新华保险,-48790.9,32918.98,81674.36,12
601668,中国建筑,-42455.65,368283.03,410743.24,63
600016,民生银行,-31526.76,95268.24,126731.01,21
002143,印纪传媒,-27018.54,9819.18,36837.72,8
600066,宇通客车,-25313.22,107364.86,132650.32,25
600498,烽火通信,-17732.96,9564.85,27293.9,4
600660,福耀玻璃,-15903.93,48526.85,64272.14,11
601989,中国重工,-15238.25,34098.54,49299.33,8
600000,浦发银行,-13635.91,73855.39,87508.62,13
600900,长江电力,-11304.24,66861.28,78203.89,13
600340,华夏幸福,-10500.0,8203.34,18700.0,1
601933,永辉超市,-10342.46,9795.25,20125.76,2
600649,城投控股,-9907.23,91.67,9998.9,1
601992,金隅股份,-9377.95,1712.48,11100.0,1
600309,万华化学,-8415.77,3805.38,12221.15,2
000687,华讯方舟,-8151.91,185.04,8336.95,1
601200,上海环境,-7854.68,0.0,7854.68,1
600820,隧道股份,-7778.34,222.27,8000.61,1
600881,亚泰集团,-6901.97,7764.41,14608.82,2
603077,和邦生物,-5195.6,379.04,5574.64,1
300017,网宿科技,-4990.88,24284.44,29276.82,10
002437,誉衡药业,-4214.72,3777.65,7992.36,2
000157,中联重科,-3732.75,19881.41,23614.13,7
000062,深圳华强,-3373.17,901.97,4275.14,1
600837,海通证券,-3253.24,3232.04,6485.28,1
000039,中集集团,-3233.83,84.28,3318.11,1
601800,中国交建,-3196.92,3262.17,6459.09,1
601988,中国银行,-3033.43,39190.05,42246.24,9
600804,鹏博士,-2762.24,1806.57,4568.8,1
000963,华东医药,-2697.47,7140.64,9838.11,3
000999,华润三九,-2666.54,10.63,2677.17,1
600761,安徽合力,-2636.46,6088.06,8724.51,2
300207,欣旺达,-2549.54,4824.23,7373.76,2
300070,碧水源,-2317.11,10567.61,12884.72,5
002043,兔宝宝,-1754.13,2583.8,4337.94,1
000983,西山煤电,-1609.32,6581.09,8190.39,5
000725,京东方A,-1363.27,127974.57,129280.32,32
300072,三聚环保,-1159.92,16041.66,17201.59,8
002299,圣农发展,-1054.19,3073.89,4128.08,1
002233,塔牌集团,-702.09,52701.49,53403.56,19
002594,比亚迪,-379.38,1884.57,2263.94,1
000792,盐湖股份,-293.48,2207.1,2500.58,2
600867,通化东宝,220.82,3282.64,3061.83,1
002470,金正大,259.05,1884.37,1625.32,1
601186,中国铁建,371.82,12612.55,12240.73,3
000338,潍柴动力,476.56,76641.01,76164.44,30
000671,阳光城,539.97,971.59,431.62,1
300408,三环集团,602.88,5555.6,4952.72,2
300033,同花顺,657.62,5523.56,4865.94,3
300015,爱尔眼科,1186.33,1186.33,0.0,1
002736,国信证券,1246.26,1728.63,482.37,1
000519,江南红箭,1354.99,1477.26,122.27,1
600004,白云机场,1447.54,12023.27,10575.74,3
000709,河钢股份,1462.37,11852.22,10389.86,4
600196,复星医药,1535.26,8041.34,6506.08,2
